date,accurateClock,cacheControl,cert,contentSecurityPolicy,contentTypeOptions,cookiesHttpOnly,cookiesSecure,frameOptions,hsts,hstsMaxage,hstsPreload,https,iframeSandbox,insecureReferences,poweredBy,publicKeyPins,runtime,server,subResourceIntegrity,totalScore,xssProtection
2017-12-08,10,-5,10,0,10,-5,-5,10,10,10,0,10,5,10,10,0,10,10,0,56,10
2018-01-05,10,-5,10,0,10,10,-5,10,10,10,0,10,5,10,10,0,10,10,0,67,10
2018-01-19,10,-5,10,0,10,10,-5,10,10,10,0,10,5,10,10,0,10,10,0,67,10
2018-02-09,10,-5,10,0,10,10,-5,10,10,10,0,10,5,10,10,0,10,10,0,67,10
2018-02-09,10,-5,10,0,10,10,-5,10,10,10,0,10,5,10,10,0,10,10,0,67,10
2018-02-16,10,-5,10,0,10,10,-5,10,10,10,0,10,5,10,10,0,10,10,0,67,10
2018-02-23,10,-5,10,0,10,10,-5,10,10,10,0,10,5,10,10,0,10,10,0,67,10
2018-03-02,10,-5,10,0,10,10,-5,10,10,10,0,10,5,10,10,0,10,10,0,67,10
2018-03-09,10,-5,10,0,10,10,-5,10,10,10,0,10,5,10,10,0,10,10,0,67,10
2018-03-16,10,-5,10,0,10,10,-5,10,10,10,0,10,5,10,10,0,10,10,0,67,10
2018-03-23,10,-5,10,0,10,10,-5,10,10,10,0,10,5,10,10,0,10,10,0,67,10
2018-03-26,10,-5,10,0,10,10,-5,10,10,10,0,10,5,10,10,0,10,10,0,67,10
